gbifid,datasetkey,occurrenceid,kingdom,phylum,class,order,family,genus,species,infraspecificepithet,taxonrank,scientificname,countrycode,locality,publishingorgkey,decimallatitude,decimallongitude,coordinateuncertaintyinmeters,coordinateprecision,elevation,elevationaccuracy,depth,depthaccuracy,eventdate,day,month,year,taxonkey,specieskey,basisofrecord,institutioncode,collectioncode,catalognumber,recordnumber,identifiedby,license,rightsholder,recordedby,typestatus,establishmentmeans,lastinterpreted,mediatype,issue
1228035288,bf2a4bf0-5f31-11de-b67e-b8a03c50a862,http://data.rbge.org.uk/herb/E00740337,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Micranthes,Micranthes engleri,engleri,SUBSPECIES,Saxifraga stellaris subsp. engleri (Dalla Torre) P.Fourn.,GB,Banffshire,98e934b0-5f31-11de-b67e-b8a03c50a862,57.5,-3.083333,,,,,,,1837-01-01T01:00Z,,,1837,8425059,5567705,PRESERVED_SPECIMEN,E,E,E00740337,,,CC_BY_NC_4_0,,G. Gordon,,,2017-10-06T15:43Z,,GEODETIC_DATUM_ASSUMED_WGS84
1228034929,bf2a4bf0-5f31-11de-b67e-b8a03c50a862,http://data.rbge.org.uk/herb/E00740251,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Micranthes,Micranthes engleri,engleri,SUBSPECIES,Saxifraga stellaris subsp. engleri (Dalla Torre) P.Fourn.,GB,Summit of Ben Lawers,98e934b0-5f31-11de-b67e-b8a03c50a862,56.545,-4.222222,,,,,,,1829-06-25T01:00Z,25,6,1829,8425059,5567705,PRESERVED_SPECIMEN,E,E,E00740251,,,CC_BY_NC_4_0,,,,,2017-10-06T15:43Z,,GEODETIC_DATUM_ASSUMED_WGS84
1228033778,bf2a4bf0-5f31-11de-b67e-b8a03c50a862,http://data.rbge.org.uk/herb/E00740343,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Micranthes,Micranthes stellaris,stellaris,VARIETY,Saxifraga stellaris var. stellaris,GB,mountains of Clova,98e934b0-5f31-11de-b67e-b8a03c50a862,56.844444,-3.103056,,,,,,,1837-08-25T01:00Z,25,8,1837,7339184,5567578,PRESERVED_SPECIMEN,E,E,E00740343,,,CC_BY_NC_4_0,,Greville,,,,,
1228033709,bf2a4bf0-5f31-11de-b67e-b8a03c50a862,http://data.rbge.org.uk/herb/E00740232,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Micranthes,Micranthes stellaris,stellaris,VARIETY,Saxifraga stellaris var. stellaris,GB,Glen Croe between Loch Awe & Loch Lomond. near Rest and be Thankful.,98e934b0-5f31-11de-b67e-b8a03c50a862,56.200278,-4.832778,,,,,,,1837-01-01T01:00Z,,,1837,7339184,5567578,PRESERVED_SPECIMEN,E,E,E00740232,,,CC_BY_NC_4_0,,J. H. C. [?],,,2017-10-06T15:43Z,,GEODETIC_DATUM_ASSUMED_WGS84
1228033446,bf2a4bf0-5f31-11de-b67e-b8a03c50a862,http://data.rbge.org.uk/herb/E00740326,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Micranthes,Micranthes stellaris,,SPECIES,Saxifraga stellaris L.,GB,,98e934b0-5f31-11de-b67e-b8a03c50a862,53,-2,,,,,,,1799-05-31T01:00Z,31,5,1799,3032808,5567578,PRESERVED_SPECIMEN,E,E,E00740326,,,CC_BY_NC_4_0,,,,,2017-10-06T15:43Z,,GEODETIC_DATUM_ASSUMED_WGS84
1228032936,bf2a4bf0-5f31-11de-b67e-b8a03c50a862,http://data.rbge.org.uk/herb/E00740213,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Micranthes,Micranthes stellaris,stellaris,VARIETY,Saxifraga stellaris var. stellaris,GB,Glen Lochy,98e934b0-5f31-11de-b67e-b8a03c50a862,56.832778,-3.553611,,,,,,,1888-07-25T01:00Z,25,7,1888,7339184,5567578,PRESERVED_SPECIMEN,E,E,E00740213,,,CC_BY_NC_4_0,,Craig-Christie,,,,,
1228032849,bf2a4bf0-5f31-11de-b67e-b8a03c50a862,http://data.rbge.org.uk/herb/E00740331,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Micranthes,Micranthes engleri,engleri,SUBSPECIES,Saxifraga stellaris subsp. engleri (Dalla Torre) P.Fourn.,GB,Ben Nevis,98e934b0-5f31-11de-b67e-b8a03c50a862,56.7975,-5.002222,,,,,,,1838-01-01T01:00Z,,,1838,8425059,5567705,PRESERVED_SPECIMEN,E,E,E00740331,,,CC_BY_NC_4_0,,Hooker,,,,,
1228032511,bf2a4bf0-5f31-11de-b67e-b8a03c50a862,http://data.rbge.org.uk/herb/E00740279,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Micranthes,Micranthes engleri,engleri,SUBSPECIES,Saxifraga stellaris subsp. engleri (Dalla Torre) P.Fourn.,GB,Ben Nevis,98e934b0-5f31-11de-b67e-b8a03c50a862,56.796111,-5.003889,,,,,,,1876-07-25T01:00Z,25,7,1876,8425059,5567705,PRESERVED_SPECIMEN,E,E,E00740279,,,CC_BY_NC_4_0,,Sadler,,,,,
1228032467,bf2a4bf0-5f31-11de-b67e-b8a03c50a862,http://data.rbge.org.uk/herb/E00740212,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Micranthes,Micranthes stellaris,stellaris,VARIETY,Saxifraga stellaris var. stellaris,GB,Ben Lawers,98e934b0-5f31-11de-b67e-b8a03c50a862,56.544167,-4.222222,,,,,,,1865-07-22T01:00Z,22,7,1865,7339184,5567578,PRESERVED_SPECIMEN,E,E,E00740212,,,CC_BY_NC_4_0,,Craig-Christie,,,,,
1228031230,bf2a4bf0-5f31-11de-b67e-b8a03c50a862,http://data.rbge.org.uk/herb/E00740204,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Micranthes,Micranthes stellaris,stellaris,VARIETY,Saxifraga stellaris var. stellaris,GB,Dollar Law,98e934b0-5f31-11de-b67e-b8a03c50a862,55.529722,-3.315,,,,,,,1890-08-09T01:00Z,9,8,1890,7339184,5567578,PRESERVED_SPECIMEN,E,E,E00740204,239/2,,CC_BY_NC_4_0,,Craig-Christie,,,,,
