gbifid,kingdom,phylum,class,order,family,genus,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454544406,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454544277,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",coccifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454544067,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",crispata,,,,,,,,,,,,,,,,,,,E,E,E00817801,CC_BY_NC_4_0,Dahl,,,,,,,,,,,,,,,,,,,,,,,,,
1454544059,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",uncialis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454543956,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",gracilis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454543320,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454543253,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",furcata,,,,,,,,,,,,,,,,,,,Sutcliffe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454543068,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",rangiferina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1423613696,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",didyma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1423612942,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",rangiformis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1423610813,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",furcata,,,,,,,,,,,,,,,,,,,Fryday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1423608781,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",glauca,,,,,,,,,,,,,,,,,,,CC_BY_NC_4_0,Fryday,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1423607132,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",leporina,,,,,,,,,,,,,,,,,,,Lagoon,98e934b0-5f31-11de-b67e-b8a03c50a862,17.737222,-88.5975,2010-05-16T02:00Z,16,5,2010,3390073,3390073,PRESERVED_SPECIMEN,E,E,E00817372,1493,CC_BY_NC_4_0,Yahr,,,,,,,,,,,,,
1423605070,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",unknown,,,,,,,,,,,,,,,,,,,17.737222,-88.5975,2010-05-16T02:00Z,16,5,2010,2607519,PRESERVED_SPECIMEN,E,E,E00817371,1494,CC_BY_NC_4_0,Yahr,,,,,,,,,,,,,,,,
1423604973,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",ravenelii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1423604961,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",subsetacea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1423603664,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",furcata,,,,,,,,,,,,,,,,,,,E00786289,5082,CC_BY_NC_4_0,Fryday,,,,,,,,,,,,,,,,,,,,,,,,,,
1423602635,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1423599752,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1423598737,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",coccifera,,,,,,,,,,,,,,,,,,,7246653,PRESERVED_SPECIMEN,E,E,E00817378,2016-1146,CC_BY_NC_4_0,Douglass,,,,,,,,,,,,,,,,,,,,,,
1305186687,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",firma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1291808552,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",pulvinata,,,,,,,,,,,,,,,,,,,Fryday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1291807492,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",uncialis,,,,,,,,,,,,,,,,,,,E00785613,2948,CC_BY_NC_4_0,Fryday,,,,,,,,,,,,,,,,,,,,,,,,,,
1291804557,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",caespiticia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1272855015,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",rangiferina,,,,,,,,,,,,,,,,,,,7,1994,2607708,2607708,PRESERVED_SPECIMEN,E,E,E00756462,943069C,CC_BY_NC_4_0,Roy,,,,,,,,,,,,,,,,,,,
1272854871,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",arbuscula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1272854499,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",squamosa,,,,,,,,,,,,,,,,,,,1990,7246650,7246650,PRESERVED_SPECIMEN,E,E,E00756464,901592C,CC_BY_NC_4_0,Roy,,,,,,,,,,,,,,,,,,,,
1272854484,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",rangiferina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1272854319,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",uncialis,,,,,,,,,,,,,,,,,,,E,E,E00756465,953689C,CC_BY_NC_4_0,Roy,,,,,,,,,,,,,,,,,,,,,,,,
1272854318,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",wainioi,,,,,,,,,,,,,,,,,,,-65.536111,122,0,1996-07-24T02:00Z,24,7,1996,3391666,3391666,PRESERVED_SPECIMEN,E,E,E00756466,96-3916-C,CC_BY_NC_4_0,Claude,,,,,,,,,,,,,,
1270063235,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",borealis,,,,,,,,,,,,,,,,,,,E,E,E00756428,24910,CC_BY_NC_4_0,Coppins,,,,,,,,,,,,,,,,,,,,,,,,
1270062182,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",macilenta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1270060227,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",pleurota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1270060093,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",symphycarpa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1265761291,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",cyathomorpha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1265760871,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1265760844,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",foliacea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1265760604,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",rangiferina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1265760364,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",ciliata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1265760347,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",digitata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1265760237,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",bellidiflora,,,,,,,,,,,,,,,,,,,CC_BY_NC_4_0,Fryday,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1265760056,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",rangiferina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1265759838,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",parasitica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1265759555,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",ramulosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1265759021,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",ciliata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1265756562,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",strepsilis,,,,,,,,,,,,,,,,,,,CC_BY_NC_4_0,Fryday,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1265756522,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",luteoalba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1265755696,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",callosa,,,,,,,,,,,,,,,,,,,E00756196,CC_BY_NC_4_0,Fryday,,,,,,,,,,,,,,,,,,,,,,,,,,,
1265755523,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",cariosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1265755488,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",strepsilis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1265755479,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",pocillum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1253324890,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",firma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1253323755,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",glauca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1253323145,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",zopfii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1253323024,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",cenotea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1253322996,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1253322880,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",subcariosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1228038933,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",pyxidata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1228035591,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",zopfii,,,,,,,,,,,,,,,,,,,CC_BY_NC_4_0,Fryday,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1228034509,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",trassii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1228031726,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",cyathomorpha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1228031084,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",symphycarpa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1228028112,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",maxima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1228026135,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",macilenta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1228024985,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",rangiferina,,,,,,,,,,,,,,,,,,,Fryday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1228024911,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",subulata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1143573416,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",evansii,,,,,,,,,,,,,,,,,,,CC_BY_NC_4_0,Sutcliffe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1143573286,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",strepsilis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1143573266,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",polydactyla,,,,,,,,,,,,,,,,,,,E,E,E00745103,356,CC_BY_NC_4_0,Sutcliffe,,,,,,,,,,,,,,,,,,,,,,,,
