gbifID	type	format	identifier	references	title	description	created	creator	contributor	publisher	audience	source	license	rightsHolder
574721170	StillImage	image/jpeg	http://repo.rbge.org.uk/image_server.php?kind=1500&path_base64=L2l0ZW1faW1hZ2VzL2FjY2Vzc2lvbnMvMTkvNzEvMTYvMzEvUGhvdG9fNTIzYzQwNzVlNzA5MC5qcGc=	http://data.rbge.org.uk/living/19711631	19711631	Image of living collection specimen with accession number 19711631 by RBGE Staff		RBGE Staff		Royal Botanic Garden Edinburgh			http://creativecommons.org/licenses/by-nc/3.0/	Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use.
574720290	StillImage	image/jpeg	http://repo.rbge.org.uk/image_server.php?kind=1500&path_base64=L2l0ZW1faW1hZ2VzL2FjY2Vzc2lvbnMvMTkvNzAvMTUvODIvUGhvdG9fNTFjMWNmOWJlNzg4NS5qcGc=	http://data.rbge.org.uk/living/19701582	19701582	Image of living collection specimen with accession number 19701582 by Lynsey Muir		Lynsey Muir		Royal Botanic Garden Edinburgh			http://creativecommons.org/licenses/by-nc/3.0/	Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use.
574720290	StillImage	image/jpeg	http://repo.rbge.org.uk/image_server.php?kind=1500&path_base64=L2l0ZW1faW1hZ2VzL2FjY2Vzc2lvbnMvMTkvNzAvMTUvODIvUGhvdG9fNTFjMWNmOWMzMTZiMS5qcGc=	http://data.rbge.org.uk/living/19701582	19701582	Image of living collection specimen with accession number 19701582 by Lynsey Muir		Lynsey Muir		Royal Botanic Garden Edinburgh			http://creativecommons.org/licenses/by-nc/3.0/	Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use.
574718703	StillImage	image/jpeg	http://repo.rbge.org.uk/image_server.php?kind=1500&path_base64=L2l0ZW1faW1hZ2VzL2FjY2Vzc2lvbnMvMTkvNjgvMDkvNTIvUGhvdG9fNTIzYzNmMGUzYzA3MS5qcGc=	http://data.rbge.org.uk/living/19680952	19680952	Image of living collection specimen with accession number 19680952 by RBGE Staff		RBGE Staff		Royal Botanic Garden Edinburgh			http://creativecommons.org/licenses/by-nc/3.0/	Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use.
574717889	StillImage	image/jpeg	http://repo.rbge.org.uk/image_server.php?kind=1500&path_base64=L2l0ZW1faW1hZ2VzL2FjY2Vzc2lvbnMvMTkvNjkvMDAvNTYvUGhvdG9fNTFjMWM2Zjc3OTU5MS5qcGc=	http://data.rbge.org.uk/living/19690056	19690056	Image of living collection specimen with accession number 19690056 by Unknown		Unknown		Royal Botanic Garden Edinburgh			http://creativecommons.org/licenses/by-nc/3.0/	Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use.
574717889	StillImage	image/jpeg	http://repo.rbge.org.uk/image_server.php?kind=1500&path_base64=L2l0ZW1faW1hZ2VzL2FjY2Vzc2lvbnMvMTkvNjkvMDAvNTYvUGhvdG9fNTFjMWM2ZjdjOWExZC5qcGc=	http://data.rbge.org.uk/living/19690056	19690056	Image of living collection specimen with accession number 19690056 by Unknown		Unknown		Royal Botanic Garden Edinburgh			http://creativecommons.org/licenses/by-nc/3.0/	Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use.
574717889	StillImage	image/jpeg	http://repo.rbge.org.uk/image_server.php?kind=1500&path_base64=L2l0ZW1faW1hZ2VzL2FjY2Vzc2lvbnMvMTkvNjkvMDAvNTYvUGhvdG9fNTg3NWZkOGNiYTllMC5qcGc=	http://data.rbge.org.uk/living/19690056	19690056	Image of living collection specimen with accession number 19690056 by Robert Jones		Robert Jones		Royal Botanic Garden Edinburgh			http://creativecommons.org/licenses/by-nc/3.0/	Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use.
574717889	StillImage	image/jpeg	http://repo.rbge.org.uk/image_server.php?kind=1500&path_base64=L2l0ZW1faW1hZ2VzL2FjY2Vzc2lvbnMvMTkvNjkvMDAvNTYvUGhvdG9fNTg3NWZkOGYxZmQ3MC5qcGc=	http://data.rbge.org.uk/living/19690056	19690056	Image of living collection specimen with accession number 19690056 by Robert Jones		Robert Jones		Royal Botanic Garden Edinburgh			http://creativecommons.org/licenses/by-nc/3.0/	Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use.
574717697	StillImage	image/jpeg	http://repo.rbge.org.uk/image_server.php?kind=1500&path_base64=L2l0ZW1faW1hZ2VzL2FjY2Vzc2lvbnMvMTkvODkvMjUvMzgvUGhvdG9fNTFjMWNjMmM2MjBkMC5qcGc=	http://data.rbge.org.uk/living/19892538	19892538	Image of living collection specimen with accession number 19892538 by Unknown		Unknown		Royal Botanic Garden Edinburgh			http://creativecommons.org/licenses/by-nc/3.0/	Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use.
574717697	StillImage	image/jpeg	http://repo.rbge.org.uk/image_server.php?kind=1500&path_base64=L2l0ZW1faW1hZ2VzL2FjY2Vzc2lvbnMvMTkvODkvMjUvMzgvUGhvdG9fNTFjMWNjMmNhYzI5MC5qcGc=	http://data.rbge.org.uk/living/19892538	19892538	Image of living collection specimen with accession number 19892538 by Unknown		Unknown		Royal Botanic Garden Edinburgh			http://creativecommons.org/licenses/by-nc/3.0/	Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use.
